"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"QIWI","QIWI plc","13.01","584413740.49","44920349","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qiwi",
"QUNR","Qunar Cayman Islands Limited","30.3","1992580934.1","65761747","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/qunr",
"RCON","Recon Technology, Ltd.","1.3","8100029.6","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/rcon",
"LEDS","SemiLEDS Corporation","3.63","12767762.7","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/leds",
"SGOC","SGOCO Group, Ltd","3.9","36612919.2","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sgoc",
"TYHT","Shineco, Inc.","3.82","80350155.04","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/tyht",
"SIFY","Sify Technologies Limited","0.78","19575874.5","25097275","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/sify",
"SIMO","Silicon Motion Technology Corporation","44.91","1582619822.19","35239809","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/simo",
"SPIL","Siliconware Precision Industries Company, Ltd.","7.34","315236433.62","42947743","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/spil",
"SINA","Sina Corporation","67.09","4755417561.12","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sina",
"SVA","Sinovac Biotech, Ltd.","5.95","338594037.95","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sva",
"SKYS","Sky Solar Holdings, Ltd.","2.26","30711756.98","13589273","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/skys",
"SPU","SkyPeople Fruit Juice, Inc.","6.38","25909754.2","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/spu",
"SOHU","Sohu.com Inc.","38.95","1508646104.45","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/sohu",
"SORL","SORL Auto Parts, Inc.","3.19","61582697.99","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/sorl",
"SPI","SPI Energy Co., Ltd.","1.81","113661026.07","62796147","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/spi",
"TANH","Tantech Holdings Ltd.","2.12","49381160","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tanh",
"TEDU","Tarena International, Inc.","15.09","455606620.71","30192619","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/tedu",
"NCTY","The9 Limited","1.23","23334981.9","18971530","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ncty",
"TOUR","Tuniu Corporation","9.05","284270174.45","31411069","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/tour",
"UTSI","UTStarcom Holdings Corp","1.95","71633862.3","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/utsi",
"VDTH","Videocon d2h Limited","8.87","334841613","37749900","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/vdth",
"VISN","VisionChina Media, Inc.","3.92","15533086.24","3962522","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/visn",
"WVE","WAVE Life Sciences Ltd.","27.25","639706530.25","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/wve",
"WB","Weibo Corporation","44.75","2132391468.5","47651206","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wb",
"WINS","Wins Finance Holdings Inc.","193.56","3879261193.32","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wins",
"JMU","Wowo Limited","3.66","43085776.2","11772070","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/jmu",
"XNET","Xunlei Limited","3.88","106269921.4","27389155","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xnet",
"YTRA","Yatra Online, Inc.","9.72","312103999.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ytra",
"YIN","Yintech Investment Holdings Limited","16.9","126750000","7500000","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/yin",
"YECO","Yulong Eco-Materials Limited","0.88","10557521.92","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/yeco",
"YY","YY Inc.","40.38","1547814017.52","38331204","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/yy",
